player1,player2,player3,player4,player5,Tm,GP,Min,NETRTG,Poss
BGriffinDET ,ADrummondDET ,TSnellDET ,LKennardDET ,BBrownDET ,DET ,9,117,19.6,235
KLowryTOR ,SIbakaTOR ,NPowellTOR ,PSiakamTOR ,OAnunobyTOR ,TOR ,17,117,0,261
TThompsonCLE ,LNanceCLE ,COsmanCLE ,CSextonCLE ,DGarlandCLE ,CLE ,25,112,-7.2,236
KLowryTOR ,MGasolTOR ,NPowellTOR ,PSiakamTOR ,OAnunobyTOR ,TOR ,13,111,13.4,244
GHarrisDEN ,JGrantDEN ,NJokicDEN ,JMurrayDEN ,TCraigDEN ,DEN ,14,110,-1.5,223
KIrvingBKN ,JHarrisBKN ,CLeVertBKN ,TPrinceBKN ,JAllenBKN ,BKN ,13,109,-2.2,240
AHorfordPHI ,THarrisPHI ,JEnnisIPHI ,BSimmonsPHI ,FKorkmazPHI ,PHI ,26,108,19.6,236
RGaySAS ,MBelinelliSAS ,PMillsSAS ,JPoeltlSAS ,DWhiteSAS ,SAS ,22,108,4.8,249
LAldridgeSAS ,DDeRozanSAS ,TLylesSAS ,BForbesSAS ,DWhiteSAS ,SAS ,27,107,0.4,229
RCovingtonMIN ,SNapierMIN ,AWigginsMIN ,KTownsMIN ,JCulverMIN ,MIN ,11,106,0.3,224
RRubioPHX ,DSaricPHX ,DBookerPHX ,MBridgesPHX ,DAytonPHX ,PHX ,10,105,2.5,227
EFournierORL ,KBirchORL ,AGordonORL ,MFultzORL ,JIsaacORL ,ORL ,8,104,-8.9,212
KIrvingBKN ,SDinwiddieBKN ,JHarrisBKN ,TPrinceBKN ,JAllenBKN ,BKN ,13,104,5.4,227
GDiengMIN ,RCovingtonMIN ,SNapierMIN ,AWigginsMIN ,JCulverMIN ,MIN ,13,101,5.4,216
CPaulOKC ,DGallinariOKC ,NNoelOKC ,TFergusonOKC ,SGilgeous-AlexanderOKC ,OKC ,21,100,-19,215
NVucevicORL ,EFournierORL ,JEnnisIORL ,AGordonORL ,MFultzORL ,ORL ,6,100,-11,219
PBeverleyLAC ,PPattersonLAC ,KLeonardLAC ,IZubacLAC ,LShametLAC ,LAC ,11,100,8.6,209
AHorfordPHI ,THarrisPHI ,JEnnisIPHI ,BSimmonsPHI ,MThybullePHI ,PHI ,21,99,14.8,224
IMahinmiWAS ,ISmithWAS ,BBealWAS ,RHachimuraWAS ,IBongaWAS ,WAS ,9,98,5.2,213
JParkerATL ,DJonesATL ,TYoungATL ,CReddishATL ,DHunterATL ,ATL ,14,98,-27.1,215
LAldridgeSAS ,RGaySAS ,DDeRozanSAS ,PMillsSAS ,DWhiteSAS ,SAS ,32,98,4.6,220
LAldridgeSAS ,RGaySAS ,DDeRozanSAS ,BForbesSAS ,DWhiteSAS ,SAS ,24,97,-3.8,203
THardawayDAL ,DPowellDAL ,DFinney-SmithDAL ,MKleberDAL ,LDoncicDAL ,DAL ,16,97,34.8,198
CJosephSAC ,HBarnesSAC ,BBogdanovicSAC ,RHolmesSAC ,BHieldSAC ,SAC ,21,96,9.6,194
LWilliamsLAC ,JGreenLAC ,RMcGruderLAC ,MHarrellLAC ,JRobinsonLAC ,LAC ,17,94,16.3,208
CAnthonyPOR ,HWhitesidePOR ,DLillardPOR ,CMcCollumPOR ,RHoodPOR ,POR ,6,93,7.2,193
CZellerCHA ,TRozierCHA ,DBaconCHA ,MBridgesCHA ,PWashingtonCHA ,CHA ,13,93,-29.4,202
TWarrenIND ,MTurnerIND ,DSabonisIND ,MBrogdonIND ,AHolidayIND ,IND ,10,93,-0.5,190
DDedmonATL ,JCollinsATL ,KHuerterATL ,TYoungATL ,DHunterATL ,ATL ,8,92,0.3,199
JRedickNOP ,DFavorsNOP ,BIngramNOP ,LBallNOP ,JHartNOP ,NOP ,13,92,-11,208
TGibsonNYK ,MHarklessNYK ,EPaytonNYK ,JRandleNYK ,RBarrettNYK ,NYK ,8,92,1.4,194
EIlyasovaMIL ,BLopezMIL ,WMatthewsMIL ,EBledsoeMIL ,KMiddletonMIL ,MIL ,24,91,-1,211
GTempleBKN ,KIrvingBKN ,JHarrisBKN ,TPrinceBKN ,JAllenBKN ,BKN ,13,91,7.2,209
JHolidayIND ,DMcDermottIND ,TMcConnellIND ,DSabonisIND ,ESumnerIND ,IND ,14,91,3.2,187
JRedickNOP ,JHolidayNOP ,BIngramNOP ,KWilliamsNOP ,JHayesNOP ,NOP ,13,90,18.4,200
RRubioPHX ,DSaricPHX ,KOubrePHX ,DBookerPHX ,DAytonPHX ,PHX ,13,90,-4.1,199
BGriffinDET ,ADrummondDET ,LGallowayDET ,LKennardDET ,BBrownDET ,DET ,11,89,-23.2,178
LJamesLAL ,JMcGeeLAL ,DGreenLAL ,ABradleyLAL ,KKuzmaLAL ,LAL ,10,88,16.7,199
BBogdanovicUTA ,RGobertUTA ,JInglesUTA ,EMudiayUTA ,RO'NealeUTA ,UTA ,27,87,24.5,192
DJordanBKN ,GTempleBKN ,SDinwiddieBKN ,JHarrisBKN ,TPrinceBKN ,BKN ,28,86,13.1,190
VOladipoIND ,TWarrenIND ,MTurnerIND ,DSabonisIND ,MBrogdonIND ,IND ,6,86,10.3,176
MMorrisDET ,ADrummondDET ,TSnellDET ,LKennardDET ,BBrownDET ,DET ,8,85,-11.5,179
PTuckerHOU ,RWestbrookHOU ,EGordonHOU ,JHardenHOU ,CCapelaHOU ,HOU ,14,85,-25.7,201
TSatoranskyCHI ,ZLaVineCHI ,KDunnCHI ,LMarkkanenCHI ,LKornetCHI ,CHI ,11,85,1.1,180
JRedickNOP ,JHolidayNOP ,BIngramNOP ,LBallNOP ,JHayesNOP ,NOP ,16,84,-10.3,195
AHorfordPHI ,THarrisPHI ,JEmbiidPHI ,BSimmonsPHI ,FKorkmazPHI ,PHI ,20,82,2.8,172
CPaulOKC ,DGallinariOKC ,NNoelOKC ,DSchroderOKC ,SGilgeous-AlexanderOKC ,OKC ,27,82,20.8,188
THardawayDAL ,KPorzingisDAL ,DFinney-SmithDAL ,MKleberDAL ,JBrunsonDAL ,DAL ,8,82,23.6,170
JCollinsATL ,BFernandoATL ,KHuerterATL ,TYoungATL ,DHunterATL ,ATL ,14,80,-10.9,175
TGibsonNYK ,RBullockNYK ,EPaytonNYK ,JRandleNYK ,RBarrettNYK ,NYK ,8,79,-14.6,164
DAugustinORL ,TRossORL ,AGordonORL ,WIwunduORL ,MBambaORL ,ORL ,10,78,0.6,161
GHaywardBOS ,KWalkerBOS ,MSmartBOS ,JBrownBOS ,DTheisBOS ,BOS ,10,78,-5,164
ISmithWAS ,BBealWAS ,TBryantWAS ,RHachimuraWAS ,IBongaWAS ,WAS ,5,78,-13.3,166
JCrowderMEM ,TJonesMEM ,DBrooksMEM ,JJacksonMEM ,BClarkeMEM ,MEM ,28,78,-11.4,185
KLoveCLE ,LNanceCLE ,COsmanCLE ,CSextonCLE ,DGarlandCLE ,CLE ,17,78,3.3,168
MConleyUTA ,JClarksonUTA ,JInglesUTA ,GNiangUTA ,TBradleyUTA ,UTA ,10,78,28.9,160
TSatoranskyCHI ,ZLaVineCHI ,KDunnCHI ,LMarkkanenCHI ,DGaffordCHI ,CHI ,12,78,6.1,165
RCovingtonMIN ,SNapierMIN ,AWigginsMIN ,KTownsMIN ,JOkogieMIN ,MIN ,14,77,-15.5,171
TSatoranskyCHI ,ZLaVineCHI ,LMarkkanenCHI ,WCarterCHI ,CWhiteCHI ,CHI ,24,77,-11.3,173
ABurksGSW ,DGreenGSW ,GRobinsonIGSW ,WCauley-SteinGSW ,EPaschallGSW ,GSW ,9,76,-12.9,154
JLambIND ,JHolidayIND ,TWarrenIND ,MTurnerIND ,MBrogdonIND ,IND ,23,76,-27.3,172
AHorfordPHI ,THarrisPHI ,JRichardsonPHI ,BSimmonsPHI ,FKorkmazPHI ,PHI ,25,75,7.5,171
DRoseDET ,MMorrisDET ,LGallowayDET ,CWoodDET ,SMykhailiukDET ,DET ,14,75,32.3,161
KLoveCLE ,TThompsonCLE ,MDellavedovaCLE ,COsmanCLE ,CSextonCLE ,CLE ,16,75,9.1,164
RCovingtonMIN ,AWigginsMIN ,KTownsMIN ,TGrahamMIN ,JCulverMIN ,MIN ,8,75,12.9,165
MConleyUTA ,BBogdanovicUTA ,RGobertUTA ,JInglesUTA ,RO'NealeUTA ,UTA ,20,74,7.6,162
MMorrisNYK ,JRandleNYK ,FNtilikinaNYK ,MRobinsonNYK ,RBarrettNYK ,NYK ,22,74,-23.6,157
PTuckerHOU ,RWestbrookHOU ,EGordonHOU ,JHardenHOU ,DHouseHOU ,HOU ,12,74,-7.5,182
TGibsonNYK ,MMorrisNYK ,EPaytonNYK ,JRandleNYK ,RBarrettNYK ,NYK ,12,74,-17.2,156
AIguodalaMIA ,GDragicMIA ,JCrowderMIA ,KOlynykMIA ,DRobinsonMIA ,MIA ,9,73,39.8,153
JTeagueMIN ,RCovingtonMIN ,AWigginsMIN ,KTownsMIN ,TGrahamMIN ,MIN ,7,72,-9.5,156
NBjelicaSAC ,HBarnesSAC ,DDedmonSAC ,BBogdanovicSAC ,DFoxSAC ,SAC ,5,71,2.2,141
RRondoLAL ,ADavisLAL ,KCaldwell-PopeLAL ,ACarusoLAL ,KKuzmaLAL ,LAL ,20,71,5.4,169
THardawayDAL ,KPorzingisDAL ,DFinney-SmithDAL ,MKleberDAL ,LDoncicDAL ,DAL ,18,71,-15.4,157
TYoungCHI ,KDunnCHI ,RArcidiaconoCHI ,WCarterCHI ,CWhiteCHI ,CHI ,18,71,9.2,152
MPlumleeDEN ,JGrantDEN ,MBeasleyDEN ,JHernangomezDEN ,MMorrisDEN ,DEN ,9,70,14.3,154
NBjelicaSAC ,HBarnesSAC ,BHieldSAC ,DFoxSAC ,MBagleyISAC ,SAC ,8,70,-14.7,150
THardawayDAL ,DPowellDAL ,KPorzingisDAL ,DFinney-SmithDAL ,JBrunsonDAL ,DAL ,5,70,19.2,145
BPortisNYK ,FNtilikinaNYK ,DDotsonNYK ,KKnoxNYK ,MRobinsonNYK ,NYK ,14,69,18.8,144
DGreenGSW ,GRobinsonIGSW ,DRussellGSW ,MChrissGSW ,DLeeGSW ,GSW ,7,69,38.1,148
JParkerATL ,DJonesATL ,DBembryATL ,TYoungATL ,DHunterATL ,ATL ,15,69,6.5,149
BLopezMIL ,WMatthewsMIL ,KMiddletonMIL ,GAntetokounmpoMIL ,DDiVincenzoMIL ,MIL ,13,68,-1.4,142
CPaulOKC ,DGallinariOKC ,NNoelOKC ,SGilgeous-AlexanderOKC ,LDortOKC ,OKC ,17,68,36.2,144
DSchroderOKC ,MMuscalaOKC ,HDialloOKC ,SGilgeous-AlexanderOKC ,DBazleyOKC ,OKC ,20,68,-0.6,156
LJamesLAL ,DHowardLAL ,DGreenLAL ,ABradleyLAL ,ADavisLAL ,LAL ,22,68,-0.7,152
ATolliverPOR ,HWhitesidePOR ,DLillardPOR ,CMcCollumPOR ,RHoodPOR ,POR ,6,67,-4.7,140
DAugustinORL ,NVucevicORL ,EFournierORL ,AGordonORL ,JIsaacORL ,ORL ,10,67,-2.8,141
SCurryDAL ,KPorzingisDAL ,DFinney-SmithDAL ,MKleberDAL ,LDoncicDAL ,DAL ,13,67,-9.4,139
TSatoranskyCHI ,ZLaVineCHI ,LMarkkanenCHI ,WCarterCHI ,CHutchisonCHI ,CHI ,7,67,1.3,156
GDiengMIN ,RCovingtonMIN ,SNapierMIN ,AWigginsMIN ,JOkogieMIN ,MIN ,15,66,-8.4,150
LWilliamsLAC ,JGreenLAC ,RMcGruderLAC ,MHarrellLAC ,LShametLAC ,LAC ,18,66,-14.5,151
RGaySAS ,DDeRozanSAS ,PMillsSAS ,JPoeltlSAS ,DWhiteSAS ,SAS ,31,66,5.4,152
SCurryDAL ,DPowellDAL ,KPorzingisDAL ,DFinney-SmithDAL ,LDoncicDAL ,DAL ,8,66,6.4,134
TWarrenIND ,JSampsonIND ,DSabonisIND ,MBrogdonIND ,AHolidayIND ,IND ,5,66,17.4,132
JClarksonUTA ,JInglesUTA ,GNiangUTA ,DMitchellUTA ,TBradleyUTA ,UTA ,21,65,27.2,135
JHensonCLE ,JClarksonCLE ,LNanceCLE ,DGarlandCLE ,KPorterCLE ,CLE ,8,65,6.1,134
TSatoranskyCHI ,ZLaVineCHI ,SHarrisonCHI ,LMarkkanenCHI ,WCarterCHI ,CHI ,10,65,8.3,133
BPortisNYK ,DSmithNYK ,DDotsonNYK ,KKnoxNYK ,MRobinsonNYK ,NYK ,17,64,-7.4,137
DRoseDET ,ADrummondDET ,TSnellDET ,BBrownDET ,SDoumbouyaDET ,DET ,7,64,1.3,131
HWhitesidePOR ,DLillardPOR ,CMcCollumPOR ,RHoodPOR ,NLittlePOR ,POR ,7,64,11.6,138
JJohnsonMIN ,DRussellMIN ,MBeasleyMIN ,JHernangomezMIN ,JOkogieMIN ,MIN ,11,63,-10.6,144
JLambIND ,JHolidayIND ,DMcDermottIND ,TMcConnellIND ,DSabonisIND ,IND ,20,63,17.9,144
JRedickNOP ,JHolidayNOP ,DFavorsNOP ,BIngramNOP ,KWilliamsNOP ,NOP ,6,63,-11.1,131
ISmithWAS ,DBertansWAS ,BBealWAS ,MWagnerWAS ,RHachimuraWAS ,WAS ,16,62,-7.2,132
NBjelicaSAC ,HBarnesSAC ,BBogdanovicSAC ,BHieldSAC ,DFoxSAC ,SAC ,21,62,-0.5,142
DGallinariOKC ,NNoelOKC ,DSchroderOKC ,TFergusonOKC ,SGilgeous-AlexanderOKC ,OKC ,25,61,6.9,131
JValanciunasMEM ,JCrowderMEM ,TJonesMEM ,DBrooksMEM ,JJacksonMEM ,MEM ,25,61,-15.1,140
DGreenGSW ,GRobinsonIGSW ,DRussellGSW ,WCauley-SteinGSW ,EPaschallGSW ,GSW ,7,60,-15.4,131
LJamesLAL ,DHowardLAL ,RRondoLAL ,ACarusoLAL ,KKuzmaLAL ,LAL ,15,60,39.7,129
LWilliamsLAC ,RJacksonLAC ,JGreenLAC ,MHarrellLAC ,LShametLAC ,LAC ,7,60,35.7,135
CMilesWAS ,ISmithWAS ,DBertansWAS ,JMcRaeWAS ,MWagnerWAS ,WAS ,7,59,-19.9,144
DJonesATL ,JCollinsATL ,KHuerterATL ,TYoungATL ,DHunterATL ,ATL ,9,59,12.8,134
ISmithWAS ,DBertansWAS ,BBealWAS ,TBryantWAS ,RHachimuraWAS ,WAS ,15,59,-13.9,128
JParkerATL ,DJonesATL ,KHuerterATL ,TYoungATL ,DHunterATL ,ATL ,9,59,-20.7,128
MMorrisNYK ,JRandleNYK ,BPortisNYK ,FNtilikinaNYK ,RBarrettNYK ,NYK ,12,59,-32.1,124
PBeverleyLAC ,KLeonardLAC ,MHarklessLAC ,IZubacLAC ,LShametLAC ,LAC ,9,59,18.9,127
PTuckerHOU ,RWestbrookHOU ,JHardenHOU ,ARiversHOU ,CCapelaHOU ,HOU ,12,59,-19.7,127
TYoungCHI ,DValentineCHI ,RArcidiaconoCHI ,CWhiteCHI ,DGaffordCHI ,CHI ,13,59,2.6,128
TYoungCHI ,TSatoranskyCHI ,ZLaVineCHI ,CFelicioCHI ,CWhiteCHI ,CHI ,14,59,-13.3,121
MChrissGSW ,OSpellmanGSW ,KBowmanGSW ,EPaschallGSW ,JPooleGSW ,GSW ,8,58,-7.9,127
WBartonDEN ,MPlumleeDEN ,JGrantDEN ,MBeasleyDEN ,MMorrisDEN ,DEN ,17,58,-18.2,121
ABurksGSW ,GRobinsonIGSW ,WCauley-SteinGSW ,KBowmanGSW ,EPaschallGSW ,GSW ,11,57,-27.6,115
IMahinmiWAS ,DBertansWAS ,IThomasWAS ,BBealWAS ,IBongaWAS ,WAS ,10,57,-15,121
IMahinmiWAS ,IThomasWAS ,BBealWAS ,GPaytonWAS ,IBongaWAS ,WAS ,6,57,7,116
ISmithWAS ,DBertansWAS ,BBealWAS ,TBryantWAS ,TBrownWAS ,WAS ,13,57,8.1,126
PTuckerHOU ,JHardenHOU ,BMcLemoreHOU ,CCapelaHOU ,DHouseHOU ,HOU ,20,57,7.2,118
RCovingtonMIN ,AWigginsMIN ,KTownsMIN ,JOkogieMIN ,JCulverMIN ,MIN ,13,57,-19.9,127
ABurksGSW ,MChrissGSW ,OSpellmanGSW ,KBowmanGSW ,JPooleGSW ,GSW ,10,56,-9.9,120
