cluster,Player,Pos,player_code,Season,G,GS,MP,Height,PER,ORBrate,DRBrate,ASTrate,STLrate,BLKrate,TOVrate,PTS,USGrate,FTr,FT_perc,FGA,FGperc2P,FGperc3P,2PTperc_Assisted,FGAperc3P,CornerPerc3PA,3PTperc_Assisted,DunkspercFGA,FGAperc0to3,FGAperc3to10,FGAperc10to16,FGAperc16to3P,poss,mp,raptor_total,war_reg_season,predator_total,pace_impact
Rim-Running Athletic Bigs,LaMarcus Aldridge,C,aldrila01,2020,53,53,1754,83,19.8,6.3,17.8,11.4,1,4.4,7.8,27.4,23.6,0.241,0.827,21.7,0.519,0.389,0.567,0.198,0.185,0.951,0.044,0.202,0.129,0.227,0.245,3648,1754,-0.1525919137352332,2.293608780912781,0.4905470051261213,-1.350680261607965
3PT Shooting Swingmen,Nickeil Alexander-Walker,SG,alexani01,2020,41,0,501,77,7.6,1.7,15.2,20.3,1,1.2,14.3,19.5,22.8,0.123,0.607,20.9,0.336,0.342,0.135,0.515,0.188,0.9,0.004,0.229,0.172,0.057,0.026,1098,501,-4.341740166849826,-0.4089472503208388,-3.070267167140987,0.5218693200840618
3PT Shooting Swingmen,Grayson Allen,SG,allengr01,2019,38,2,416,76,7.5,0.8,5.1,8.9,0.7,1.1,13.9,24.3,24.4,0.337,0.75,20.5,0.443,0.323,0.4,0.556,0.303,0.938,0.045,0.157,0.14,0.079,0.067,931,430,-10.33713093,-1.583498036,-8.837897578,0.880970996
3PT Shooting Swingmen,Grayson Allen,SG,allengr01,2020,30,0,498,76,11.4,1.1,12.6,11.8,0.6,0.2,10.7,20.7,17.9,0.199,0.857,16.5,0.541,0.363,0.587,0.517,0.275,0.97,0.063,0.188,0.199,0.091,0.006,1100,498,-2.304144081499172,0.113830268747223,-3.295246291268735,0.492725151842946
Rim-Running Athletic Bigs,Jarrett Allen,C,allenja01,2018,72,31,1441,83,17.5,10.5,18.1,5.4,0.9,4.6,15.1,19.8,16.3,0.37,0.776,13.4,0.599,0.333,0.843,0.038,0.867,1,0.353,0.668,0.232,0.038,0.023,3002,1441,-4.054694244,-0.956236725,-4.841986373,-0.3073628
Rim-Running Athletic Bigs,Jarrett Allen,C,allenja01,2019,80,80,2096,83,18.5,9.6,24,7.9,1,4.5,13,19.8,15.9,0.489,0.709,12.9,0.629,0.133,0.83,0.079,0.867,1,0.343,0.678,0.22,0.021,0.002,4723,2206,-4.57798757,-1.688439103,-3.661514226,0.145825668
Rim-Running Athletic Bigs,Jarrett Allen,C,allenja01,2020,64,58,1647,83,20.3,12.5,25,7.8,1.1,4.3,12.2,19.6,15,0.574,0.62,11.9,0.654,0,0.79,0.012,0.8,0,0.472,0.772,0.201,0.012,0.002,3484,1647,1.835368483875063,3.829963075542578,1.132525858268691,-0.6118577046466338
Traditional Bigs,Lavoy Allen,PF,allenla01,2012,41,15,624,81,12.7,8.3,22.2,8.4,1.1,2.2,10.4,14.5,14.5,0.084,0.786,14.3,0.473,0,0.848,0,0,0,0.048,0.222,0.21,0.24,0.329,1619,860,0.341823235,0.391285401,-0.320813364,-0.109768377
Stretch Forwards,Lavoy Allen,C,allenla01,2013,79,37,1669,81,11.5,10.5,16.5,6.7,0.8,2.6,10.3,14.4,14.8,0.132,0.717,14.3,0.455,0,0.743,0.002,1,0,0.037,0.275,0.222,0.165,0.335,3200,1669,-2.840392415,-0.076596311,-3.248337744,-0.45356929
Rim-Running Athletic Bigs,Lavoy Allen,PF,allenla01,2014,51,2,960,81,11.9,11.5,20,10.2,1.1,2.2,12.4,13.3,14.3,0.15,0.675,13.4,0.455,0.154,0.678,0.049,0,1,0.023,0.282,0.267,0.132,0.271,2309,1087,-3.02716405,-0.208787164,-4.273390438,0.081618426
