Player,Tm,CurrentSalary,player_code
Caleb Martin,CHO,898310,martica02
Shaquille Harrison,CHI,898310,harrish01
Javonte Green,BOS,898310,greenja02
Damion Lee,GSW,842327,leeda03
Khyri Thomas,DET,838464,thomakh01
DeMarre Carroll,HOU,811447,carrode01
Michael Kidd-Gilchrist,DAL,810763,kiddgmi01
Marquese Chriss,GSW,758804,chrisma01
Juwan Morgan,UTA,746054,morgaju01
Patrick Patterson,OKC,737067,pattepa01
Reggie Jackson,LAC,734025,jacksre01
Alfonzo McKinnie,CLE,708871,mckinal01
Gary Clark,HOU,708426,clarkga01
Jeff Green,HOU,695526,greenje02
Cole Aldrich,MIN,685340,aldrico01
Shaun Livingston,GSW,666667,livinsh01
Marquese Chriss,GSW,654468,chrisma01
Timothé Luwawu-Cabarrot,BRK,654468,luwawti01
Rayjon Tucker,UTA,578573,tuckera01
Chris Clemons,HOU,568422,clemoch01
Gary Clark,ORL,555409,clarkga01
Brandon Goodwin,ATL,522738,goodwbr01
Dion Waiters,LAL,503656,waitedi01
Ryan Anderson,HOU,500000,anderry01
Anžejs Pasečņiks,WAS,482144,pasecan01
Troy Daniels,DEN,481000,danietr01
Chris Silva,MIA,466918,silvach01
Dakari Johnson,MEM,459414,johnsda04
Iman Shumpert,BRK,419443,shumpim01
Max Strus,BOS,415414,strusma01
Justin Robinson,WAS,395866,robinju01
Ivan Rabb,MEM,371758,rabbiv01
Norvel Pelle,PHI,350189,pelleno01
Ky Bowman,GSW,350189,bowmaky01
Juan Toscano-Anderson,GSW,350189,toscaju01
A.J. Hammons,MIA,350087,hammoaj01
Festus Ezeli,POR,333333,ezelife01
C.J. Watson,ORL,333333,watsocj01
Stanton Kidd,UTA,250000,kiddst01
Joe Johnson,DET,220000,johnsjo02
Jemerrio Jones,WAS,199000,jonesje01
Jontay Porter,MEM,197933,portejo01
Timothé Luwawu-Cabarrot,BRK,189702,luwawti01
Dragan Bender,GSW,189702,bendedr01
Mychal Mulder,GSW,187782,muldemy01
Alfonzo McKinnie,CLE,183114,mckinal01
Gary Clark,ORL,163356,clarkga01
Joe Chealey,CHO,163356,chealjo01
Cameron Payne,TOR,150000,payneca01
Jeff Green,HOU,144901,greenje02
Anthony Tolliver,MEM,144901,tollian01
Joakim Noah,LAC,144901,noahjo01
Troy Williams,HOU,122741,willitr02
Johnathan Williams,WAS,106181,willijo04
Tyler Cook,CLE,101504,cookty01
Donta Hall,DET,101504,halldo01
Yante Maten,MIA,100000,matenya01
Jaylen Adams,ATL,100000,adamsja01
Justin Anderson,BRK,98144,anderju01
Demetrius Jackson,BOS,92857,jacksde01
Jeremy Pargo,GSW,91557,pargoje01
Chasson Randle,GSW,91557,randlch01
Jonah Bolden,PHO,81678,boldejo01
Josh Magette,ORL,81678,magetjo01
Jarrod Uthoff,MEM,81678,uthofja01
Dusty Hannahs,MEM,81678,hannadu01
Derrick Walton,DET,81678,waltode01
J.P. Macura,CLE,81678,macurjp01
Sheldon Mac,CLE,81678,mcclesh01
Mychal Mulder,GSW,50752,muldemy01
Eric Mika,SAC,50752,mikaer01
Zach Norvell,GSW,50752,norveza01
Malik Newman,CLE,50752,newmama01
Marques Bolden,CLE,50752,boldema01
Sir'Dominic Pointer,CLE,50752,pointsi01
Paul Watson,ATL,50752,watsopa01
Tyler Cook,CLE,50000,cookty01
William Howard,UTA,50000,howarwi01
Isaiah Taylor,TOR,50000,taylois01
Tyler Lydon,SAC,50000,lydonty01
Hollis Thompson,SAC,50000,thompho01
Tyler Ulis,SAC,50000,ulisty01
