lineup,player1,player2,player3,player4,player5,team,games_played,mins_played,net_rating,pace,season
125,JO'Neal,AParker,CBosh,JCalderon,ABargnani,TOR,10,116,-25.3,93.15,2009
126,MCamby,BSkinner,MCollins,AThornton,EGordon,LAC,8,116,-8.8,89.77,2009
127,NKrstic,KDurant,JGreen,RWestbrook,KWeaver,OKC,17,115,-16.5,100.75,2009
128,CBillups,KMartin,CAndersen,CAnthony,JSmith,DEN,33,114,20.0,98.05,2009
129,JKidd,DNowitzki,JTerry,AWright,BBass,DAL,34,113,12.6,102.06,2009
130,TChandler,RButler,DWest,CPaul,JWright,NOH,8,113,15.6,87.23,2009
131,JPrzybilla,TOutlaw,LAldridge,SRodriguez,RFernandez,POR,39,112,18.6,94.11,2009
132,MBibby,JJohnson,MEvans,MWilliams,AHorford,ATL,19,111,1.0,91.58,2009
133,CBillups,ACarter,KMartin,Nene,CAnthony,DEN,29,110,12.3,98.84,2009
134,JSalmons,KMartin,BUdrih,SHawes,JThompson,SAC,21,110,-31.6,99.22,2009
135,KGarnett,RAllen,PPierce,BScalabrine,RRondo,BOS,9,110,26.5,95.66,2009
136,MBibby,JJohnson,MEvans,ZPachulia,JSmith,ATL,32,110,17.6,92.42,2009
137,STelfair,AJefferson,RGomes,RFoye,KLove,MIN,22,110,1.2,96.77,2009
138,QRichardson,CDuhon,NRobinson,DLee,WChandler,NYK,20,109,-10.5,104.51,2009
139,AJamison,MJames,DSongaila,ABlatche,DMcGuire,WAS,10,108,-12.3,94.73,2009
140,JCrawford,QRichardson,ZRandolph,CDuhon,WChandler,NYK,9,108,10.4,99.82,2009
141,MCamby,CMobley,BDavis,CKaman,AThornton,LAC,8,108,10.4,93.85,2009
142,MRedd,RJefferson,LRidnour,ABogut,CVillanueva,MIL,17,108,13.6,99.86,2009
143,KThomas,MFinley,TParker,RMasonJr,MBonner,SAS,20,107,26.4,87.34,2009
144,MBibby,JJohnson,RMurray,ZPachulia,JSmith,ATL,29,106,30.2,95.49,2009
145,CBillups,Nene,CAnthony,DJones,RBalkman,DEN,11,105,32.7,95.3,2009
146,JPrzybilla,TOutlaw,CFrye,SRodriguez,RFernandez,POR,27,105,-1.6,93.17,2009
147,JRichardson,GWallace,EOkafor,RFelton,JDudley,CHA,10,105,-6.0,83.64,2009
148,RAlston,SBattier,Yao,LScola,VWafer,HOU,7,104,12.4,91.8,2009
149,BKnight,MHarpring,AKirilenko,KKorver,PMillsap,UTA,23,103,12.2,91.99,2009
150,MMiller,JCollins,AJefferson,RGomes,RFoye,MIN,8,103,-8.2,90.72,2009
151,TDuncan,MGinobili,TParker,RMasonJr,MBonner,SAS,31,103,9.7,95.88,2009
152,BUdrih,ANocioni,FGarcia,SHawes,JThompson,SAC,7,102,-9.4,94.32,2009
153,RAllen,EHouse,TAllen,LPowe,GDavis,BOS,30,102,13.2,89.39,2009
154,JRichardson,GWallace,EOkafor,RFelton,SMay,CHA,7,101,-9.5,90.07,2009
155,RAllen,PPierce,KPerkins,RRondo,LPowe,BOS,19,101,2.0,92.06,2009
156,RJefferson,CBell,LRidnour,ABogut,LMbahaMoute,MIL,15,99,17.1,89.99,2009
157,TRatliff,AMiller,WGreen,AIguodala,TYoung,PHI,19,99,10.5,92.17,2009
158,JFoster,TMurphy,TFord,MDaniels,DGranger,IND,20,98,13.2,95.95,2009
159,ZIlgauskas,WSzczerbiak,MWilliams,AVarejao,DGibson,CLE,22,98,14.5,91.51,2009
160,RGay,KLowry,MGasol,OMayo,DArthur,MEM,24,97,-16.6,93.58,2009
161,VCarter,KDooling,BSimmons,JYi,BLopez,NJN,19,97,-1.4,90.78,2009
162,AJamison,DStevenson,CButler,DBrown,JMcGee,WAS,13,96,-12.6,96.03,2009
163,EBrand,AMiller,SDalembert,WGreen,AIguodala,PHI,17,96,-5.3,95.32,2009
164,JSmith,DMason,KDurant,JGreen,RWestbrook,OKC,15,96,-9.9,95.95,2009
